cell_id,profile,backend,depth,op_seq,op,kind,proof_id,proof_j,leaf_index,from_account,contract_name,gas_limit,expected_status,status,expected_revert,revert_reason,expected_return,return_value,check_pass,gas_used,calldata_bytes,calldata_zero_bytes,calldata_tokens,calldata_gas_standard,floor_gas_7623,create_gas,intrinsic_gas,exec_gas_derived,floor_binding,code_deposit_gas,initcode_bytes,runtime_bytes,runtime_keccak,runtime_matches_artifact,calldata_sha256
primary-groth16-d10,primary,groth16,10,31,neg_tampered_call,call,G16-d10-p0,0,64,A0,Groth16LegacyVerifierDepth10,,call,call,,,false,false,1,,292,3,1159,,,,,,,,,,,,e94c445b8904355f9a108a30593cd3990c855d14f3613162e80cb327e2be1c56
primary-groth16-d10,primary,groth16,10,32,neg_tampered,tx,G16-d10-p0,0,64,A0,CredentialManagerGroth16,3000000,0,0,Invalid proof,Invalid proof,,,1,2908558,292,3,1159,4636,32590,0,25636,2882922,0,,,,,,0359f7f970a67b3f2d4109b3cbc4922d22b87ea1de3a05061910dd18526af2b3
primary-groth16-d10,primary,groth16,10,33,neg_cross_depth_setup,tx,G16-d11-p0,0,128,A0,CredentialManagerGroth16,300000,1,1,,,,,1,47334,36,1,141,564,22410,0,21564,25770,0,,,,,,d02fee54c295d1b5cc2948d9c79837ece40c0013835e3b9bb349e94ae744e758
primary-groth16-d10,primary,groth16,10,34,neg_cross_depth_call,call,G16-d11-p0,0,128,A0,Groth16LegacyVerifierDepth10,,call,call,,,false,false,1,,292,2,1162,,,,,,,,,,,,5bc6f0de4752c6450808a69e77e384f62a63422d6390520d86938db713353393
primary-groth16-d10,primary,groth16,10,35,neg_cross_depth,tx,G16-d11-p0,0,128,A0,CredentialManagerGroth16,3000000,0,0,Invalid proof,Invalid proof,,,1,222912,292,2,1162,4648,32620,0,25648,197264,0,,,,,,ca9621b912a5f11cbb8dd875c48c9971287be9dbbe4454fcd36230ca7d465efc
primary-groth16-d10,primary,groth16,10,36,neg_non_issuer,tx,G16-d10-p0,0,64,A1,CredentialManagerGroth16,300000,0,0,CredentialManager: not issuer,CredentialManager: not issuer,,,1,24183,36,0,144,576,22440,0,21576,2607,0,,,,,,c70e0fc0dcce1b144b1b3352307a21f93a93f2fce4e70bc9dec9627a6e721205
primary-groth16-d11,primary,groth16,11,1,deploy_verifier,tx,,,,A0,Groth16LegacyVerifierDepth11,6000000,1,1,,,,,1,349628,1404,53,5457,21828,75570,32088,74916,274712,0,274400,1404,1372,0x1660e5c0187e477090c96776978c5c58afcac37df9cc19705e8395f2a690cefa,1,3adaef3e110854ca0e56ddb1e23c340fceb960f9010c03b78741b3911d43effd
primary-groth16-d11,primary,groth16,11,2,deploy_manager,tx,,,,A0,CredentialManagerGroth16,6000000,1,1,,,,,1,565248,2410,84,9388,37552,114880,32152,90704,474544,0,428000,2410,2140,0x3fa88dab92b4daae5449537045ac5d6e143ea11f41fcdff2d37adb5523454ace,1,19ee042dbe867a3c02cb22e3913366b1c44d39bcad3099526989912ebfacd00a
primary-groth16-d11,primary,groth16,11,3,set_issuer,tx,,,,A0,CredentialManagerGroth16,300000,1,1,,,,,1,47900,68,43,143,572,22430,0,21572,26328,0,,,,,,727fd06686258f939093f54b4f3c375b0f3052da4ba7867e73d6f93a90702a06
primary-groth16-d11,primary,groth16,11,4,add_root,tx,,,,A0,CredentialManagerGroth16,300000,1,1,,,,,1,47334,36,1,141,564,22410,0,21564,25770,0,,,,,,d02fee54c295d1b5cc2948d9c79837ece40c0013835e3b9bb349e94ae744e758
primary-groth16-d11,primary,groth16,11,5,precheck_call,call,G16-d11-p0,0,128,A0,CredentialManagerGroth16,,call,call,,,true,true,1,,292,2,1162,,,,,,,,,,,,ca9621b912a5f11cbb8dd875c48c9971287be9dbbe4454fcd36230ca7d465efc
primary-groth16-d11,primary,groth16,11,6,verify_credential,tx,G16-d11-p0,0,128,A0,CredentialManagerGroth16,1000000,1,1,,,,,1,223946,292,2,1162,4648,32620,0,25648,198298,0,,,,,,ca9621b912a5f11cbb8dd875c48c9971287be9dbbe4454fcd36230ca7d465efc
primary-groth16-d11,primary,groth16,11,7,verify_credential,tx,G16-d11-p1,1,384,A0,CredentialManagerGroth16,1000000,1,1,,,,,1,223958,292,1,1165,4660,32650,0,25660,198298,0,,,,,,639c80471b559309e712f4c4ac80bdbc80d6df2460bd4c3bf55546677a3942c6
primary-groth16-d11,primary,groth16,11,8,verify_credential,tx,G16-d11-p2,2,640,A0,CredentialManagerGroth16,1000000,1,1,,,,,1,223958,292,1,1165,4660,32650,0,25660,198298,0,,,,,,a0d019788870875208b17503c52382242ecc7ef389c425030689cc5878f2facd
primary-groth16-d11,primary,groth16,11,9,verify_credential,tx,G16-d11-p3,3,896,A0,CredentialManagerGroth16,1000000,1,1,,,,,1,223946,292,2,1162,4648,32620,0,25648,198298,0,,,,,,44d222ad348d08cbb4c15c476f3f9e766c7b457489111eea40cf8035a9d57bfc
primary-groth16-d11,primary,groth16,11,10,verify_credential,tx,G16-d11-p4,4,1152,A0,CredentialManagerGroth16,1000000,1,1,,,,,1,223934,292,3,1159,4636,32590,0,25636,198298,0,,,,,,64ac10112def869faad27edcff3a1f184b4d69c408dd4ef9ba2791e00fbf2f70
primary-groth16-d11,primary,groth16,11,11,verify_credential,tx,G16-d11-p5,5,1408,A0,CredentialManagerGroth16,1000000,1,1,,,,,1,223934,292,3,1159,4636,32590,0,25636,198298,0,,,,,,0848907a05b5de2619814ca98c726689da9e07fb5de876c5f73602f5aecac8d5
primary-groth16-d11,primary,groth16,11,12,verify_credential,tx,G16-d11-p6,6,1664,A0,CredentialManagerGroth16,1000000,1,1,,,,,1,223934,292,3,1159,4636,32590,0,25636,198298,0,,,,,,0b038845691778d5ecf554fbad7edc36d34019f4458610826c0f782c2979d705
primary-groth16-d11,primary,groth16,11,13,verify_credential,tx,G16-d11-p7,7,1920,A0,CredentialManagerGroth16,1000000,1,1,,,,,1,223958,292,1,1165,4660,32650,0,25660,198298,0,,,,,,d12dd5a363059bb0a0018565ad35b45baaed224644c5e64c88f49a6eccf031c3
primary-groth16-d11,primary,groth16,11,14,verify_proof_call,call,G16-d11-p0,0,128,A0,Groth16LegacyVerifierDepth11,,call,call,,,true,true,1,,292,2,1162,,,,,,,,,,,,5bc6f0de4752c6450808a69e77e384f62a63422d6390520d86938db713353393
primary-groth16-d11,primary,groth16,11,15,verify_proof_call,call,G16-d11-p1,1,384,A0,Groth16LegacyVerifierDepth11,,call,call,,,true,true,1,,292,1,1165,,,,,,,,,,,,efa885aac2e9479c43fe12f6847995b17d8af96513378cc2c1d26e9d055da7b6
primary-groth16-d11,primary,groth16,11,16,verify_proof_call,call,G16-d11-p2,2,640,A0,Groth16LegacyVerifierDepth11,,call,call,,,true,true,1,,292,1,1165,,,,,,,,,,,,1c147d59cc572d343a1e8e2aa749baf09252f70a647b83a025998f089baf4314
