backend,stage,role,depth,ratio,rounds,n,median,min,max,values,definition
groth16,prove_ms,stage,5,S4_cpu2_over_cpu4,1-5,5,1.73148,1.63969,2.05024,r1=2.05024;r2=1.68194;r3=1.80387;r4=1.73148;r5=1.63969,T_r(cpu2)/T_r(cpu4)
groth16,prove_ms,stage,6,S4_cpu2_over_cpu4,1-5,5,1.83728,1.54696,1.87919,r1=1.54696;r2=1.82626;r3=1.87919;r4=1.84514;r5=1.83728,T_r(cpu2)/T_r(cpu4)
groth16,prove_ms,stage,7,S4_cpu2_over_cpu4,1-5,5,1.69562,1.63398,1.81043,r1=1.6363;r2=1.69562;r3=1.63398;r4=1.75207;r5=1.81043,T_r(cpu2)/T_r(cpu4)
groth16,prove_ms,stage,8,S4_cpu2_over_cpu4,1-5,5,1.69008,1.607,1.8562,r1=1.75011;r2=1.8562;r3=1.69008;r4=1.607;r5=1.65446,T_r(cpu2)/T_r(cpu4)
groth16,prove_ms,stage,9,S4_cpu2_over_cpu4,1-5,5,1.68162,1.63138,1.81994,r1=1.81402;r2=1.63138;r3=1.66479;r4=1.81994;r5=1.68162,T_r(cpu2)/T_r(cpu4)
groth16,prove_ms,stage,10,S4_cpu2_over_cpu4,1-5,5,1.75906,1.66869,1.82772,r1=1.75906;r2=1.82772;r3=1.66869;r4=1.68566;r5=1.7981,T_r(cpu2)/T_r(cpu4)
groth16,prove_ms,stage,11,S4_cpu2_over_cpu4,1-5,5,1.62927,1.55151,1.65609,r1=1.62007;r2=1.65609;r3=1.64652;r4=1.55151;r5=1.62927,T_r(cpu2)/T_r(cpu4)
groth16,prove_ms,stage,12,S4_cpu2_over_cpu4,1-5,5,1.68702,1.65812,1.79256,r1=1.71307;r2=1.66683;r3=1.65812;r4=1.79256;r5=1.68702,T_r(cpu2)/T_r(cpu4)
groth16,prove_ms,stage,13,S4_cpu2_over_cpu4,1-5,5,1.76309,1.63895,1.98121,r1=1.98121;r2=1.73306;r3=1.63895;r4=1.77045;r5=1.76309,T_r(cpu2)/T_r(cpu4)
groth16,prove_ms,stage,14,S4_cpu2_over_cpu4,1-5,5,1.68356,1.67338,1.82765,r1=1.8106;r2=1.82765;r3=1.68356;r4=1.68239;r5=1.67338,T_r(cpu2)/T_r(cpu4)
groth16,prove_ms,stage,15,S4_cpu2_over_cpu4,1-5,5,1.84422,1.79009,1.90374,r1=1.84422;r2=1.79009;r3=1.86051;r4=1.90374;r5=1.82066,T_r(cpu2)/T_r(cpu4)
groth16,prove_ms,stage,all,S4_cpu2_over_cpu4,1-5,11,1.69562,1.62927,1.84422,d5=1.73148;d6=1.83728;d7=1.69562;d8=1.69008;d9=1.68162;d10=1.75906;d11=1.62927;d12=1.68702;d13=1.76309;d14=1.68356;d15=1.84422,median and min-max over depths of the per-depth median (Figure 5)
groth16,prove_ms,stage,5,S8_cpu2_over_cpu8,1-5,5,2.34665,2.15021,2.68101,r1=2.68101;r2=2.34665;r3=2.52496;r4=2.3466;r5=2.15021,T_r(cpu2)/T_r(cpu8)
groth16,prove_ms,stage,6,S8_cpu2_over_cpu8,1-5,5,2.61869,2.20126,2.71732,r1=2.20126;r2=2.52321;r3=2.71732;r4=2.68158;r5=2.61869,T_r(cpu2)/T_r(cpu8)
groth16,prove_ms,stage,7,S8_cpu2_over_cpu8,1-5,5,2.3887,2.3103,2.73817,r1=2.31356;r2=2.43377;r3=2.3103;r4=2.3887;r5=2.73817,T_r(cpu2)/T_r(cpu8)
groth16,prove_ms,stage,8,S8_cpu2_over_cpu8,1-5,5,2.3943,2.27536,2.4709,r1=2.46051;r2=2.4709;r3=2.3943;r4=2.27536;r5=2.3446,T_r(cpu2)/T_r(cpu8)
groth16,prove_ms,stage,9,S8_cpu2_over_cpu8,1-5,5,2.36366,2.29143,2.59204,r1=2.59204;r2=2.32548;r3=2.29143;r4=2.50775;r5=2.36366,T_r(cpu2)/T_r(cpu8)
groth16,prove_ms,stage,10,S8_cpu2_over_cpu8,1-5,5,2.44302,2.36124,2.54139,r1=2.44302;r2=2.5377;r3=2.36124;r4=2.37213;r5=2.54139,T_r(cpu2)/T_r(cpu8)
groth16,prove_ms,stage,11,S8_cpu2_over_cpu8,1-5,5,2.36068,2.20009,2.41181,r1=2.30885;r2=2.36068;r3=2.37973;r4=2.20009;r5=2.41181,T_r(cpu2)/T_r(cpu8)
groth16,prove_ms,stage,12,S8_cpu2_over_cpu8,1-5,5,2.43814,2.35609,2.45116,r1=2.45116;r2=2.44465;r3=2.35609;r4=2.43814;r5=2.42912,T_r(cpu2)/T_r(cpu8)
groth16,prove_ms,stage,13,S8_cpu2_over_cpu8,1-5,5,2.45305,2.3424,2.63946,r1=2.63946;r2=2.3424;r3=2.37364;r4=2.45305;r5=2.46102,T_r(cpu2)/T_r(cpu8)
groth16,prove_ms,stage,14,S8_cpu2_over_cpu8,1-5,5,2.36252,2.30362,2.52224,r1=2.52224;r2=2.44446;r3=2.30776;r4=2.36252;r5=2.30362,T_r(cpu2)/T_r(cpu8)
groth16,prove_ms,stage,15,S8_cpu2_over_cpu8,1-5,5,2.55496,2.54095,2.6069,r1=2.56732;r2=2.54095;r3=2.55496;r4=2.55277;r5=2.6069,T_r(cpu2)/T_r(cpu8)
groth16,prove_ms,stage,all,S8_cpu2_over_cpu8,1-5,11,2.3943,2.34665,2.61869,d5=2.34665;d6=2.61869;d7=2.3887;d8=2.3943;d9=2.36366;d10=2.44302;d11=2.36068;d12=2.43814;d13=2.45305;d14=2.36252;d15=2.55496,median and min-max over depths of the per-depth median (Figure 5)
groth16,prove_ms,stage,5,doubling_cpu4_over_cpu8,1-5,5,1.35526,1.30766,1.39974,r1=1.30766;r2=1.3952;r3=1.39974;r4=1.35526;r5=1.31135,T_r(cpu4)/T_r(cpu8)
groth16,prove_ms,stage,6,doubling_cpu4_over_cpu8,1-5,5,1.42531,1.38163,1.45333,r1=1.42296;r2=1.38163;r3=1.44601;r4=1.45333;r5=1.42531,T_r(cpu4)/T_r(cpu8)
groth16,prove_ms,stage,7,doubling_cpu4_over_cpu8,1-5,5,1.41391,1.36336,1.51244,r1=1.4139;r2=1.43533;r3=1.41391;r4=1.36336;r5=1.51244,T_r(cpu4)/T_r(cpu8)
groth16,prove_ms,stage,8,doubling_cpu4_over_cpu8,1-5,5,1.4159,1.33116,1.41714,r1=1.40592;r2=1.33116;r3=1.41668;r4=1.4159;r5=1.41714,T_r(cpu4)/T_r(cpu8)
groth16,prove_ms,stage,9,doubling_cpu4_over_cpu8,1-5,5,1.40559,1.37641,1.42889,r1=1.42889;r2=1.42547;r3=1.37641;r4=1.37793;r5=1.40559,T_r(cpu4)/T_r(cpu8)
groth16,prove_ms,stage,10,doubling_cpu4_over_cpu8,1-5,5,1.40724,1.38845,1.41502,r1=1.38882;r2=1.38845;r3=1.41502;r4=1.40724;r5=1.41338,T_r(cpu4)/T_r(cpu8)
groth16,prove_ms,stage,11,doubling_cpu4_over_cpu8,1-5,5,1.42546,1.41804,1.4803,r1=1.42516;r2=1.42546;r3=1.44531;r4=1.41804;r5=1.4803,T_r(cpu4)/T_r(cpu8)
groth16,prove_ms,stage,12,doubling_cpu4_over_cpu8,1-5,5,1.43086,1.36014,1.46664,r1=1.43086;r2=1.46664;r3=1.42095;r4=1.36014;r5=1.43989,T_r(cpu4)/T_r(cpu8)
groth16,prove_ms,stage,13,doubling_cpu4_over_cpu8,1-5,5,1.38555,1.33224,1.44827,r1=1.33224;r2=1.3516;r3=1.44827;r4=1.38555;r5=1.39586,T_r(cpu4)/T_r(cpu8)
