profile_id,backend,depth,stage,role,rounds,n,median,q1,q3,iqr,min,max
cpu2,groth16,12,stage_sum_ms,diagnostic,6-10,5,471.872,469.367,472.07,2.703,456.304,487.056
cpu2,groth16,13,input_ms,stage,6-10,5,31.148,31.029,31.607,0.578,24.827,32.468
cpu2,groth16,13,witness_ms,stage,6-10,5,29.786,28.123,31.115,2.992,28.08,35.069
cpu2,groth16,13,prove_ms,stage,6-10,5,443.873,440.027,457.194,17.167,407.386,460.375
cpu2,groth16,13,verify_first_ms,stage,6-10,5,12.33,11.028,12.628,1.6,10.688,21.388
cpu2,groth16,13,verify_steady_ms,stage,6-10,5,10.681,10.5,10.884,0.384,10.41,11.615
cpu2,groth16,13,wall_ms,total,6-10,5,515.476,514.827,528.834,14.007,479.495,541.687
cpu2,groth16,13,stage_sum_ms,diagnostic,6-10,5,515.45,514.798,528.796,13.998,479.467,541.659
cpu2,groth16,14,input_ms,stage,6-10,5,57.831,55.984,58.713,2.729,55.969,59.207
cpu2,groth16,14,witness_ms,stage,6-10,5,27.762,26.783,30.166,3.383,25.99,32.802
cpu2,groth16,14,prove_ms,stage,6-10,5,468.961,451.118,470.475,19.357,449.032,486.352
cpu2,groth16,14,verify_first_ms,stage,6-10,5,10.467,10.173,11.48,1.307,9.814,12.871
cpu2,groth16,14,verify_steady_ms,stage,6-10,5,10.698,10.05,11.096,1.046,9.797,12.631
cpu2,groth16,14,wall_ms,total,6-10,5,564.712,551.169,565.153,13.984,542.913,588.13
cpu2,groth16,14,stage_sum_ms,diagnostic,6-10,5,564.688,551.144,565.124,13.98,542.89,588.102
cpu2,groth16,15,input_ms,stage,6-10,5,123.653,120.832,124.195,3.363,100.964,126.812
cpu2,groth16,15,witness_ms,stage,6-10,5,28.704,28.687,29.455,0.768,27.148,32.748
cpu2,groth16,15,prove_ms,stage,6-10,5,470.207,459.272,473.459,14.187,444.303,483.153
cpu2,groth16,15,verify_first_ms,stage,6-10,5,11.974,10.761,12.777,2.016,10.044,13.794
cpu2,groth16,15,verify_steady_ms,stage,6-10,5,10.984,10.156,11.035,0.879,9.828,12.153
cpu2,groth16,15,wall_ms,total,6-10,5,627.538,616.941,632.551,15.61,605.72,650.342
cpu2,groth16,15,stage_sum_ms,diagnostic,6-10,5,627.513,616.903,632.519,15.616,605.69,650.315
cpu2,plonk,5,input_ms,stage,1-5,5,0.797,0.759,1.175,0.416,0.745,1.498
cpu2,plonk,5,witness_ms,stage,1-5,5,22.986,22.149,26.261,4.112,18.793,28.556
cpu2,plonk,5,prove_ms,stage,1-5,5,12301.9,12045.4,12936.2,890.856,11890.7,13302.8
cpu2,plonk,5,verify_first_ms,stage,1-5,5,10.089,9.22,10.306,1.086,9.205,10.987
